REGION,YEAR,PROT,STRAT,NTOT,GRID_SIZE
Tortugas,2022,0,T04,7001,50
Tortugas,2022,0,T05,6214,50
Tortugas,2022,0,T07,8323,50
Tortugas,2022,0,T08,1449,50
Tortugas,2022,0,T09,157,50
Tortugas,2022,1,T04,5441,50
Tortugas,2022,1,T05,7727,50
Tortugas,2022,1,T07,5740,50
Tortugas,2022,1,T08,8633,50
Tortugas,2022,1,T09,3292,50
Tortugas,2022,2,T01,15255,50
Tortugas,2022,2,T02,12838,50
Tortugas,2022,2,T04,27108,50
Tortugas,2022,2,T05,10016,50
Tortugas,2022,2,T09,5192,50
